,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
LRRC46,4,10,1,0,4,15,2,10
LRRC47,332,1112,269,116,733,893,358,925
LRRC49,22,63,21,11,52,87,26,74
LRRC4B,0,2,0,0,1,3,1,9
LRRC4C,0,13,2,2,14,15,9,17
LRRC52,145,524,74,53,2,3,1,4
LRRC55,1,6,1,0,22,38,8,28
LRRC56,48,150,27,9,172,299,101,241
LRRC57,136,492,104,45,237,333,118,327
LRRC58,1781,5821,1190,674,4142,4932,1867,5517
LRRC59,2182,9098,1567,767,1507,1939,627,1970
LRRC6,0,0,0,0,0,0,0,0
LRRC61,112,333,89,40,337,479,155,339
LRRC63,0,1,0,0,1,1,0,1
LRRC66,0,0,0,0,0,0,0,0
LRRC69,1,5,4,0,3,11,10,6
LRRC7,4,10,3,1,3,5,6,7
LRRC71,0,54,10,4,21,15,3,20
LRRC72,0,0,0,0,0,0,0,0
LRRC73,9,36,4,6,2,8,6,4
LRRC74A,0,0,0,0,0,0,0,0
LRRC74B,1,8,1,1,23,23,6,23
LRRC75A,19,40,6,5,28,27,7,28
LRRC75B,2,11,1,0,4,10,7,16
LRRC8A,230,763,203,71,1049,923,526,1350
LRRC8B,107,383,97,39,167,177,70,179
LRRC8C,342,833,269,126,436,549,218,531
LRRC8D,1155,3436,929,410,919,1109,411,1148
LRRC8E,3,12,6,0,10,18,4,13
LRRC9,4,22,6,5,41,69,30,58
LRRCC1,46,176,49,25,327,428,166,393
LRRD1,2,3,1,0,1,3,0,2
LRRFIP1,276,1057,208,81,311,482,146,455
LRRFIP2,506,1968,369,196,533,795,266,677
LRRIQ1,0,0,0,0,0,0,0,0
LRRIQ3,3,37,6,4,30,47,16,32
LRRIQ4,0,0,0,0,0,0,0,0
LRRK1,83,235,64,31,251,362,122,308
LRRK2,74,211,56,18,242,282,134,347
LRRN1,1,1,0,0,5,8,6,16
LRRN2,0,11,4,0,21,19,9,19
LRRN3,1,7,3,0,7,4,3,12
LRRN4,24,132,29,12,93,132,47,119
LRRN4CL,62,180,60,23,91,65,28,54
LRRTM1,1,5,0,0,1,1,0,2
LRRTM2,0,0,0,0,1,2,0,2
LRRTM3,0,2,0,1,1,1,2,2
LRRTM4,0,2,1,0,2,3,1,2
LRSAM1,141,455,114,39,394,505,199,490
LRTM1,6,18,7,0,28,59,20,44
LRTM2,0,0,1,0,0,1,1,6
LRWD1,82,297,68,21,186,250,77,221
LSAMP,3,17,2,1,24,37,12,19
LSG1,158,630,123,49,311,378,144,404
LSM1,160,589,134,50,220,243,102,268
LSM10,21,56,18,5,112,163,55,145
LSM11,55,214,51,16,139,257,79,163
LSM12,262,941,198,92,748,1024,369,1048
LSM14A,547,1905,455,227,1340,1852,654,1627
LSM14B,255,891,227,82,496,622,276,664
LSM2,57,276,59,31,127,168,61,177
LSM3,105,465,93,39,168,193,77,193
LSM4,302,1193,234,104,514,590,225,560
LSM5,37,144,25,16,114,163,57,153
LSM6,154,533,112,40,258,309,127,319
LSM7,0,27,14,0,29,43,28,28
LSM8,76,282,58,34,153,182,82,179
LSMEM1,0,0,0,0,3,3,1,12
LSP1,38,134,43,10,277,451,123,273
LSR,3,19,6,3,28,47,8,28
LSS,495,1789,399,159,519,748,269,623
LST1,3,13,3,1,16,44,4,21
LTA,0,1,0,0,2,2,1,2
LTA4H,247,920,210,88,778,1164,422,1168
LTB,1,13,7,1,23,40,4,36
LTB4R2,0,1,0,0,2,0,0,0
LTBP1,90,269,74,25,229,239,136,277
